,imdbId,title,releaseYear,releaseDate,genre_x,writers,actors,directors,sequel,hitFlop,movie_name,release_date,runtime,genre_y,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross,actors_movieCount,actors_ratingSum,actors_normalizedMovieRank,actors_googleHits,actors_normalizedGoogleRank,actors_normalizedRating,directors_movieCount,directors_ratingSum,directors_normalizedMovieRank,directors_googleHits,directors_normalizedGoogleRank,directors_normalizedRating
709,tt1948047,Impatient Vivek,2011,07 Jan 2011,Comedy | Drama | Romance,Rahat Kazmi (screenplay) | B.K. Tyagi (story),Vivek Sudershan | Sayali Bhagat | Ronnaoq Ahuja | Chari Asopa,Rahat Kazmi,0.0,1,Impatient Vivek, 7 Jan 2011 , 114 min  ,Rom - Com,Disaster,125,"15,900","2,25,00,000","2,75,000","8,25,000","11,70,000","11,30,250","16,02,900","16,75,000","16,75,000",21.33333333333333,1016.6666666666665,3.7900400956471767,1389666.666666667,4.581599911053974,5.201313177744547,10.0,950.0,6.328949928283691,437000.0,4.244609832763672,6.837609767913821
710,tt1948150,Singham,2011,22 Jul 2011,Action | Crime | Drama,Farhad | Farhad | Hari (original story) | Yunus Sajawal (screenplay) | Sajid (dialogue),Ajay Devgn | Kajal Agarwal | Prakash Raj | Sonali Kulkarni,Rohit Shetty,0.0,7,Singham, 22 Jul 2011 , 144 min  ,Action,Super Hit,2050,"1,59,61,000","41,00,00,000","8,76,00,000","29,73,00,000","49,29,00,000","43,47,49,000","71,49,12,000","1,35,83,00,000","1,41,30,35,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
711,tt1948640,The Waiting Room,2010,16 Jan 2010,Crime | Drama | Mystery,Maneej Premnath (story),Raj Singh Chaudhary | Radhika Apte | Sandeep Kulkarni | Prateeksha Lonkar,Maneej Premnath,0.0,1,The Waiting Room, 15 Jan 2010 , 91 min  ,Mystery,Disaster,5,450,"1,00,00,000",None,None,"35,000",None,"50,050","50,000","50,000",20.0,1062.5,3.9093324542045593,938750.0,4.225589831670126,4.464329898357391,10.0,490.0,3.060529947280884,185000.0,2.368340015411377,3.27870988845825
712,tt1949548,Heroine,2012,21 Sep 2012,Drama,Madhur Bhandarkar | Niranjan Iyengar | Anuradha Tiwari,Kareena Kapoor | Arjun Rampal | Randeep Hooda | Shahana Goswami,Madhur Bhandarkar,0.0,3,Heroine, 21 Sep 2012 , 148 min  ,Drama,Below Average,2000,"43,92,000","35,00,00,000","6,82,00,000","21,26,00,000","30,09,00,000","35,54,76,000","49,53,59,000","46,15,00,000","57,11,75,000",20.0,1130.0,4.627387523651123,651500.0,2.6772950887680054,4.593222558498383,7.0,390.0,3.5375900268554688,105000.0,1.772699952125549,3.628319978713991
713,tt1954206,The Dirty Picture,2011,02 Dec 2011,Biography | Comedy | Drama,Rajat Arora,Vidya Balan | Emraan Hashmi | Tusshar Kapoor | Naseeruddin Shah,Milan Luthria,0.0,7,The Dirty Picture, 2 Dec 2011 , 153 min  ,Drama,Super Hit,1600,"1,14,46,000","31,00,00,000","9,16,00,000","30,21,00,000","48,41,00,000","45,14,56,000","71,92,76,000","1,08,22,00,000","1,16,99,97,500",10.75,455.0,2.9343525171279907,436000.0,2.1213525235652924,3.3114624917507167,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
714,tt1961530,Tell Me O Kkhuda,2011,27 Oct 2011,Action | Crime | Drama,Hema Malini | Mayur Puri (story) | Ulka Puri (story) | Anand Sharma (story),Dharmendra | Vinod Khanna | Rishi Kapoor | Farooq Shaikh,Hema Malini,0.0,1,Tell Me O Kkhuda, 27 Oct 2011 , 129 min  ,Drama,Disaster,325,"1,32,000","16,00,00,000","19,00,000","62,00,000","85,50,000","84,94,000","1,17,13,500","1,23,00,000","1,23,00,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
715,tt1964886,Love Express,2011,10 Jun 2011,Comedy | Drama,Kumaar (lyrics),Sahil Mehta | Mannat Ravi | Vikas Katyal | Priyam Galav,Sunny Bhambhani,0.0,1,Love Express, 10 Jun 2011 , 103 min  ,Comedy,Disaster,150,"30,200","5,00,00,000","4,50,000","14,50,000","20,50,000","19,57,500","27,67,500","29,00,000","29,00,000",8.5,195.0,1.2608699798583984,38450.0,1.194949984550476,1.4891999959945652,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
716,tt1979209,Chala Mussaddi - Office Office,2011,05 Aug 2011,Comedy | Drama,Ashwani Dhir,Deven Bhojani | Makrand Deshpande | Vinay Jain | Farida Jalal,Rajiv Mehra,0.0,1,Chala Mussaddi - Office Office, 5 Aug 2011 , 112 min  ,Comedy,Disaster,350,"1,32,000","6,50,00,000","22,00,000","70,00,000","1,00,00,000","93,80,000","1,34,00,000","1,39,00,000","1,39,00,000",22.5,1320.0,6.805254936218263,1151475.0,4.957303365071613,6.427564978599548,4.0,350.0,5.796050071716309,905000.0,7.729119777679442,6.99779987335205
717,tt1980986,Housefull 2,2012,05 Apr 2012,Comedy | Romance,Farhad (dialogue) | Farhad (screenplay) | Tushar Hiranandani (screenplay) | Sajid Khan (screenplay) | Sajid Nadiadwala (story) | Sajid (dialogue) | Sajid (screenplay),Akshay Kumar | Asin | John Abraham | Jacqueline Fernandez,Sajid Khan,1.0,7,Housefull 2, 6 Apr 2012 , 156 min  ,Comedy,Super Hit,2650,"1,57,62,000","72,00,00,000","12,19,00,000","40,24,00,000","61,75,00,000","70,13,74,500","1,06,12,50,000","1,53,76,00,000","1,88,40,50,000",27.0,1370.0,4.007249832153319,2610000.0,7.729790210723878,7.11934995651245,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
718,tt1985981,Desi Boyz,2011,25 Nov 2011,Comedy | Drama,Rohit Dhawan (screenplay) | Rohit Dhawan (story) | Renuka Kunzru (dialogue) | Milap Zaveri (additional screenplay),Bruna Abdullah | John Abraham | Shekhar Bassi | Peter Brown,Rohit Dhawan,0.0,2,Desi Boyz, 25 Nov 2011 , 122 min  ,Drama,Flop,2100,"64,73,000","54,00,00,000","8,05,00,000","25,68,00,000","37,39,00,000","43,50,80,000","63,37,25,000","61,82,00,000","80,43,60,000",16.41485507246378,715.5120137299773,2.9788738278193287,649043.6336765825,3.0152027458629536,3.5439428890778935,6.6552059052059045,322.2766122766123,2.9092558385238414,257732.2999222999,2.9029395163012923,3.2353892118410257
