,actors_movieCount,actors_ratingSum,actors_normalizedMovieRank,actors_googleHits,actors_normalizedGoogleRank,actors_normalizedRating
295,19.5,705.0,2.6099449396133423,182500.0,1.4673799872398376,2.7538551092147854
296,14.5,612.5,3.212457537651062,433250.0,2.1142599880695343,3.4659225940704355
297,12.0,375.0,2.1529500484466553,59400.0,1.1498050093650818,2.3124099969863896
298,26.75,1377.5,3.81181001663208,1342000.0,4.458632439374925,5.143637418746948
299,23.0,720.0,2.1058599948883057,160000.0,1.4093300104141235,2.43348002433777
300,6.0,130.0,1.163040041923523,8340.0,1.0180799961090088,1.6731599569320699
301,11.666666666666666,346.6666666666667,1.9652166763941448,167700.0,1.4291966358820598,2.364643335342407
302,8.333333333333334,220.0,1.5298900206883748,52096.666666666664,1.1309666633605957,1.94657333691915
303,14.0,430.0,2.004420042037964,243000.0,1.623455047607422,2.4976999759674055
304,8.0,220.0,1.7337000370025637,168000.0,1.4299700260162354,2.23313999176025
305,22.5,1275.0,3.3641300797462463,2050000.0,6.285115003585815,5.929455041885375
306,8.0,175.0,1.0917125046253204,119357.5,1.407123327255249,1.653739988803865
307,7.333333333333333,400.0,4.206523259480795,340000.0,3.627939939498901,3.5167133808136
308,29.5,1410.0,3.8251225352287292,1482500.0,4.821092426776886,5.357800006866458
309,25.0,1147.5,3.750327467918396,1021750.0,3.6324599981307983,4.637735009193423
310,39.0,1945.0,3.9653525352478027,2511750.0,7.476329863071442,6.951017498970033
311,9.0,290.0,2.1956549882888794,131850.0,1.3367149829864502,2.44326996803284
312,21.666666666666668,976.6666666666666,2.6199299494425454,1272333.3333333333,5.920079708099365,4.172593275705974
313,27.333333333333332,1343.3333333333333,4.039400100708008,572666.6666666666,2.473923405011495,4.14220333099365
314,30.0,1277.5,3.1294649839401245,1205500.0,4.106495022773743,4.5540523529052725
315,9.0,406.6666666666667,2.919466654459635,508333.3333333333,2.9636499881744385,3.2200066248575836
316,26.0,1412.5,4.225927472114563,1256500.0,4.238059908151627,5.253944933414458
317,23.0,720.0,2.1058599948883057,160000.0,1.4093300104141235,2.43348002433777
318,14.0,556.6666666666666,2.5217366218566895,253533.33333333334,1.650629957516988,2.80802329381307
319,10.0,240.0,1.3285566568374634,576233.3333333334,3.226404905319214,2.41313008467356
320,11.25,445.0,2.7866850793361664,266975.0,1.6853049993515015,2.978789925575255
321,5.0,110.0,1.1956499814987185,0.0,3.0152027458629536,1.1115100383758503
322,9.0,210.0,1.3260899782180786,595000.0,2.5315399169921875,2.6286399364471404
323,14.0,410.0,1.5529299974441528,114050.0,1.2907900214195251,2.050790011882785
