movie_name,release_date,runtime,genre,hitfactor,screens,footfall,budget,first_day,first_weekend,first_week,worldwide_first_weekend,worldwide_first_week,india_gross,worldwide_gross
Sooper Se Ooper, 25 Oct 2013 , 108 min  ,Comedy,Disaster,100,"10,300","2,00,00,000","1,75,000","6,00,000","8,25,000","8,22,000","11,30,250","12,00,000","12,00,000"
The Forest, 24 Nov 2017 , 114 min  ,Horror,Disaster,50,"8,825",None,None,None,None,None,"6,25,000","6,25,000","6,25,000"
Bengaloored, 25 Jun 2010 , 108 min  ,Drama,Disaster,5,"1,600","50,00,000","35,000","1,00,000","1,35,000","1,34,000","1,80,900","1,95,000","1,95,000"
Policewala Gunda, 19 May 1995 , 152 min  ,Action,Average,165,"52,83,000","2,25,00,000","37,00,000","1,02,00,000","1,74,00,000","1,74,42,000","2,97,54,000","6,38,00,000","6,41,15,000"
Road To Sangam, 29 Jan 2010 , 141 min  ,Drama,Disaster,60,"9,775","3,00,00,000","1,25,000","4,50,000","6,20,000","6,30,000","8,68,000","9,00,000","9,00,000"
Matru Ki Bijlee Ka Mandola, 11 Jan 2013 , 151 min  ,Drama,Flop,1850,"45,83,000","41,00,00,000","6,42,00,000","21,39,00,000","31,61,00,000","34,43,55,000","50,19,45,000","52,66,00,000","61,76,15,000"
Tere Bin Laden - Dead Or Alive, 26 Feb 2016 , 109 min  ,Comedy,Disaster,850,"3,71,000","13,00,00,000","71,00,000","2,28,00,000","3,36,00,000","4,12,47,000","5,35,29,000","4,71,50,000","5,80,70,000"
Deadline - Sirf 24 Ghante, 10 Nov 2006 , 102 min  ,Thriller,Disaster,55,"46,300","2,25,00,000","4,75,000","16,00,000","22,50,000","22,56,000","31,72,500","38,75,000","38,75,000"
Jab Tak Hai Jaan, 13 Nov 2012 , 179 min  ,Love Story,Hit,2450,"1,27,62,000","78,00,00,000","12,61,00,000","40,51,00,000","72,27,00,000","80,66,18,500","1,42,68,94,500","1,37,83,00,000","2,10,26,42,500"
Fool N Final, 1 Jun 2007 , 144 min  ,Comedy,Flop,850,"45,07,000","26,00,00,000","2,63,00,000","8,19,00,000","12,47,00,000","12,70,41,000","19,33,33,000","24,86,00,000","27,62,00,000"
Rascals, 6 Oct 2011 , 127 min  ,Comedy,Flop,1850,"49,68,000","46,00,00,000","7,12,00,000","17,16,00,000","27,65,00,000","27,87,13,500","41,74,77,500","45,29,00,000","51,01,81,250"
Dhadkan, 11 Aug 2000 , 161 min  ,Love Story,Average,250,"99,14,000","9,50,00,000","78,00,000","2,49,00,000","4,72,00,000","4,87,35,000","9,07,62,500","23,84,00,000","26,47,06,250"
Sparsh - The Touch, 14 Nov 2003 , 155 min  ,Mystery,Disaster,12,"64,200","1,00,00,000","2,25,000","6,75,000","10,00,000","10,26,000","15,20,000","23,50,000","23,50,000"
